sample_name	celltype
1	tcellA
2	tcellA
3	tcellA
4	tcellA
5	tcellA
6	tcellA
7	tcellA
8	tcellA
9	tcellA
10	tcellA
11	tcellA
12	tcellA
13	tcellA
14	tcellA
15	tcellA
16	tcellA
17	tcellA
18	tcellA
19	tcellA
20	tcellA
21	tcellA
22	tcellA
23	tcellA
24	tcellA
25	tcellA
26	tcellA
27	tcellA
28	tcellA
29	tcellA
30	tcellA
31	tcellB
32	tcellB
33	tcellB
34	tcellB
35	tcellB
36	tcellB
37	tcellB
38	tcellB
39	tcellB
40	tcellB
41	tcellB
42	tcellB
43	tcellB
44	tcellB
45	tcellB
46	tcellB
47	tcellB
48	tcellB
49	tcellB
50	tcellB
51	tcellB
52	tcellB
53	tcellB
54	tcellB
55	tcellB
56	tcellB
57	tcellB
58	tcellB
59	tcellB
60	tcellB
61	tcellB
62	tcellB
63	tcellB
